Ue4^2,Chi2,Confiança Inferior,Confiança Superior,Chi2(Inferior),Chi2(Superior)
0.015700634645707864,6.144751255454911,0.009501015494507057,0.021841570008291927,7.144751255454914,7.144751255454933
0.018942537881952708,13.765432501714225,0.01270340614404345,0.02512348746509029,14.765432501714203,14.765432501714209
0.021909687097024386,16.44303522724619,0.01568654114327565,0.028073862415858963,17.4430352272462,17.4430352272462
0.01529335663680893,4.209777337939157,0.009107843536097325,0.021420027778350514,5.20977733793915,5.209777337939154
0.01290662177047386,4.514030571082592,0.006706735132984196,0.019048360354691474,5.514030571082613,5.514030571082588
0.02096578915187655,3.8912061728263194,0.014764483288383414,0.027108093203046878,4.891206172826312,4.891206172826327
0.030697756916195695,2.0143586531131086,0.024464382877719616,0.03687153075547095,3.0143586531131135,3.0143586531131055
0.020594460711480845,9.630275525216732,0.014384799103486171,0.026745360777792975,10.630275525216735,10.630275525216724
0.022525755537003207,6.398018368302999,0.01629810541059793,0.02869445721408029,7.398018368302999,7.3980183683030045
0.01721334686428923,12.587388961057883,0.011006076720948494,0.023362097709048218,13.587388961057881,13.587388961057886
0.012195138697759306,18.34479690319976,0.00598429703995795,0.01834823497866512,19.344796903199754,19.34479690319973
0.015401454505109843,5.674649015215546,0.009201255884450088,0.021542985604282153,6.674649015215541,6.674649015215548
0.01801138070265077,3.778064795588805,0.011821588402055966,0.024142079286460758,4.778064795588793,4.7780647955888185
0.018815017865814545,11.08411117071043,0.012622832733161468,0.02494806969141556,12.084111170710404,12.084111170710457
0.01571782247793275,5.182888876231183,0.009519861417376528,0.021857137075053264,6.18288887623118,6.182888876231193
0.01314058272625698,10.334558831881678,0.006968551738354806,0.019253681345780874,11.334558831881688,11.334558831881656
0.022876834351419694,18.527532156273676,0.01668099998795772,0.02901295852071087,19.527532156273672,19.527532156273647
0.02573279910052375,5.018303082575998,0.019509483509067903,0.031896636607846134,6.018303082576004,6.018303082576017
0.012509356407517746,6.668581003884877,0.006334129953234127,0.018626063048874642,7.668581003884875,7.668581003884889
0.01300383262906104,13.893546704513314,0.00680304240745569,0.019146446991273314,14.893546704513309,14.89354670451333
0.01816689126756181,11.186602764969878,0.011947909512922409,0.024327293902947272,12.186602764969887,12.186602764969859
0.014749796506121094,10.708398807454918,0.008570105512624649,0.020870412000785234,11.708398807454904,11.708398807454941
0.010719995325130488,10.43319024388746,0.004521893171195665,0.016860105259512977,11.433190243887438,11.433190243887472
0.023340841850392733,8.925531222616682,0.017132079929615063,0.02949023799781308,9.925531222616666,9.92553122261666
0.02759893449852223,5.806520712585346,0.021400968861254623,0.033736856959735675,6.806520712585336,6.806520712585338
0.016358623055494282,5.290173409697416,0.010159670978211927,0.02249902114398898,6.290173409697413,6.2901734096974105
0.0270160552506692,16.979484258929823,0.020773483163878375,0.03319950120136315,17.979484258929816,17.979484258929816
0.018091253288469535,13.437514253709285,0.01187986262109317,0.024244064513553105,14.437514253709288,14.43751425370931
0.015716214101893135,1.9255359098489555,0.009523761736754316,0.021849939394075656,2.925535909848948,2.9255359098489664
0.011144069596947703,17.785055802940036,0.004966680230535924,0.017262730139016007,18.785055802940022,18.785055802940015
0.0106599598990765,12.370838051540526,0.0044448916212271984,0.01681744243229919,13.370838051540519,13.370838051540542
0.020111936941723148,7.386441088803866,0.013902613979705956,0.0262622930152731,8.386441088803872,8.386441088803862
0.028539903565611226,8.669567971888286,0.0222978254691712,0.03472271471871213,9.669567971888283,9.669567971888293
0.02323340125885738,4.785591251600163,0.017006475890900728,0.029401396426919302,5.785591251600138,5.785591251600142
0.01528167200071169,15.657714029374494,0.009085473597365602,0.021418983519978382,16.657714029374485,16.657714029374453
0.02241232379437381,13.671157484239826,0.016210495912466146,0.028554901345488035,14.671157484239828,14.671157484239831
0.012775630407805941,3.5351524023606773,0.00658309164609246,0.01890995401529522,4.535152402360683,4.535152402360692
0.019141307086084917,7.948563691442787,0.012936511877384843,0.025287306915292535,8.948563691442795,8.948563691442791
0.01859623504572785,16.912594510681437,0.012391850370769942,0.02474187854784411,17.9125945106814,17.912594510681437
0.019229436342513402,8.223255631849991,0.01300936006916276,0.025390923617756356,9.223255631849987,9.223255631849984
0.020940643481600872,12.080120287309857,0.014715317540843462,0.027107252884118135,13.080120287309848,13.080120287309883
0.017680262569187824,5.13865578077748,0.011484319068906056,0.023817404369008466,6.138655780777476,6.138655780777483
0.012514117073251771,3.598997363791711,0.006317191176622736,0.018652823061584074,4.598997363791707,4.598997363791689
0.018389904763669578,7.4878241466802296,0.01221182185631387,0.024508727463639433,8.487824146680214,8.487824146680234
0.024278781907071063,6.3070750357719545,0.018077970688564253,0.03041988321636457,7.307075035771953,7.307075035771966
0.017927645877278933,1.9797810804062843,0.011737486603366537,0.024058847773587414,2.979781080406287,2.979781080406289
0.016607017428226734,6.271814672497414,0.010393482984125587,0.02276232620224293,7.271814672497401,7.271814672497423
0.018433720482976857,3.130167777859087,0.01222242078536809,0.024586444546254155,4.130167777859086,4.130167777859091
0.012995264088349284,12.571851339796964,0.006795411683805955,0.019136986645476087,13.571851339796956,13.571851339796943
0.011233727783642232,2.5080613686529727,0.005049194041064862,0.017359809124427073,3.5080613686529545,3.508061368652974
0.019185255557088284,8.8411802690766,0.012973569304964959,0.025338050098067413,9.841180269076604,9.841180269076588
0.02167740278662873,8.256801257741852,0.015493041687254799,0.027802152045114752,9.256801257741838,9.256801257741863
0.018258511758121418,3.0328899259708066,0.012055028216187688,0.024403177730891512,4.032889925970815,4.032889925970814
